`Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-04-20,2024-04-22,XXXX,2LEVY@SOMEWHEREUNI,Dining,6.38,
2024-04-20,2024-04-22,XXXX,HARRIS TEETER,Merchandise,31.44,
2024-04-20,2024-04-22,XXXX,TST* THE BULLPEN,Dining,6.07,
2024-04-20,2024-04-22,XXXX,TST* THE BULLPEN,Dining,12.14,
2024-04-21,2024-04-22,XXXX,TST* CHICKEN AND WHISK,Dining,12.32,
2024-04-20,2024-04-22,XXXX,MAMAN ORDER,Dining,4.62,
2024-04-20,2024-04-20,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,30.94
2024-04-20,2024-04-20,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,813.35
2024-04-20,2024-04-20,XXXX,TST* GREGORY'S COFFEE,Dining,2.9,
2024-04-19,2024-04-20,XXXX,TST* BETHESDA BAGELS -,Dining,6.6,
2024-04-18,2024-04-19,XXXX,TST* MAMAN - SOMEWHERE,Dining,3.63,
2024-04-15,2024-04-18,XXXX,SOLACE OUTPOST,Dining,26.77,
2024-04-15,2024-04-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-04-14,2024-04-16,XXXX,HARRIS TEETER,Merchandise,30.55,
2024-04-14,2024-04-15,XXXX,LE DIPLOMATE,Dining,37.38,
2024-04-15,2024-04-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-04-13,2024-04-15,XXXX,STARBUCKS STORE 00719,Dining,4.62,
2024-04-12,2024-04-15,XXXX,HARRIS TEETER,Merchandise,10.1,
2024-04-13,2024-04-15,XXXX,TM *WASHINGTON SPIRIT,Entertainment,28.14,
2024-04-12,2024-04-13,XXXX,TST* JACKIE AMERICAN B,Dining,72.48,
2024-04-10,2024-04-12,XXXX,HARRIS TEETER,Merchandise,15.6,
2024-04-11,2024-04-12,XXXX,TST* MAMAN - SOMEWHERE,Dining,6.6,
2024-04-10,2024-04-12,XXXX,STARBUCKS STORE 10898,Dining,2.93,
2024-04-09,2024-04-11,XXXX,SOLACE OUTPOST,Dining,4.9,
2024-04-08,2024-04-10,XXXX,HARRIS TEETER,Merchandise,20.06,
2024-04-07,2024-04-08,XXXX,TST* TRYST COFFEE HOUS,Dining,5.68,
2024-04-07,2024-04-08,XXXX,TST* SILVER DINER - BA,Dining,30.66,
2024-04-05,2024-04-08,XXXX,PINSTRIPES - 5 GEORGET,Dining,22.9,
2024-04-05,2024-04-08,XXXX,PINSTRIPES - 5 GEORGET,Dining,22.96,
2024-04-05,2024-04-08,XXXX,PINSTRIPES - 5 GEORGET,Dining,22.9,
2024-04-06,2024-04-06,XXXX,TST* GREGORY'S COFFEE,Dining,2.09,
2024-04-05,2024-04-06,XXXX,TST* IL CANALE,Dining,31.67,
2024-04-05,2024-04-06,XXXX,TM TICKETMASTER,Entertainment,79.87,
2024-04-05,2024-04-06,XXXX,TST* IL CANALE,Dining,29.66,
2024-04-04,2024-04-05,XXXX,AMK MYBANK ARENA,Dining,3.52,
2024-04-01,2024-04-02,XXXX,HARRISTEETER #383,Merchandise,6.24,
2024-03-31,2024-04-02,XXXX,7-ELEVEN 11595,Gas/Automotive,2.0,
2024-03-31,2024-04-02,XXXX,HABIT ROCKVILLE #17Q91,Dining,7.08,
2024-03-31,2024-04-01,XXXX,HARRISTEETER #383,Merchandise,9.2,
2024-03-31,2024-04-01,XXXX,DAIRY QUEEN #11623,Dining,6.35,
2024-03-30,2024-04-01,XXXX,KALIWA,Dining,34.71,
2024-03-30,2024-04-01,XXXX,TST* MI VIDA,Dining,7.98,
2024-03-28,2024-03-30,XXXX,SOLACE OUTPOST,Dining,4.28,
2024-03-28,2024-03-30,XXXX,SOLACE OUTPOST,Dining,21.21,
2024-03-28,2024-03-30,XXXX,ROYAL SANDS SOCIAL CLU,Dining,48.12,
2024-03-28,2024-03-29,XXXX,HARRISTEETER #383,Merchandise,47.66,
2024-03-15,2024-03-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-03-26,2024-03-26,XXXX,TST* RASA - BALLPARK,Dining,2.6,
2024-03-26,2024-03-26,XXXX,TST* RASA - BALLPARK,Dining,5.63,
2024-03-25,2024-03-26,XXXX,LPY*HOUSEBAR,Merchandise,22.05,
2024-03-25,2024-03-25,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,31.47
2024-03-25,2024-03-25,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,295.68
2024-03-24,2024-03-25,XXXX,HARRISTEETER #383,Merchandise,9.21,
2024-03-24,2024-03-25,XXXX,SQ *MOBILE APP BALANCE,Dining,10.0,
2024-03-23,2024-03-25,XXXX,HARRISTEETER #383,Merchandise,94.85,
2024-03-21,2024-03-21,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,42.4
2024-03-20,2024-03-21,XXXX,MAMAN HOUSE ACCOUNT,Dining,7.44,
2024-03-20,2024-03-21,XXXX,MAMAN ORDER,Dining,9.41,
2024-03-19,2024-03-19,XXXX,UBER   TRIP,Other Travel,4.01,
2024-03-17,2024-03-19,XXXX,KIRWANS ON THE WHARF,Dining,12.16,
2024-03-17,2024-03-19,XXXX,KIRWANS ON THE WHARF,Dining,6.88,
2024-03-18,2024-03-19,XXXX,SUNDAY* GYPSY KITCHEN,Dining,42.4,
2024-03-16,2024-03-18,XXXX,KIRWANS ON THE WHARF,Dining,5.68,
2024-03-17,2024-03-18,XXXX,SQ *BESHO FOOD SERVICE,Dining,6.6,
2024-03-16,2024-03-18,XXXX,TST* DEL MAR,Dining,16.04,
2024-03-17,2024-03-18,XXXX,TST* DACHA SOMEWHERE,Dining,11.88,
2024-03-17,2024-03-18,XXXX,TST* ESP TEA AND COFFE,Dining,4.23,
2024-03-16,2024-03-18,XXXX,HARRISTEETER #383,Merchandise,22.99,
2024-03-15,2024-03-16,XXXX,HUDSON-DUNKIN ST1299,Merchandise,8.8,
2024-03-15,2024-03-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-03-14,2024-03-15,XXXX,FUNKY GEISHA CANCUN,Dining,28.32,
2024-03-15,2024-03-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-03-10,2024-03-12,XXXX,SOMEWHEREA WOW BAO PIER C,Dining,9.02,
2024-03-08,2024-03-11,XXXX,BRASSERIE LIBERTE,Dining,30.02,
2024-03-09,2024-03-11,XXXX,TST* ALA,Dining,76.44,
2024-03-10,2024-03-11,XXXX,TST* GREGORY'S COFFEE,Dining,4.68,
2024-03-08,2024-03-09,XXXX,TRADER JOE S #653,Merchandise,19.95,
2024-03-08,2024-03-09,XXXX,FOXTROT,Dining,4.86,
2024-03-08,2024-03-09,XXXX,SQ *CAFE #65191 GEORGE,Dining,2.86,
2024-03-06,2024-03-07,XXXX,FOXTROT MARKET-NAVY YA,Merchandise,1.8,
2024-03-05,2024-03-07,XXXX,SOLACE OUTPOST,Dining,2.72,
2024-03-05,2024-03-07,XXXX,SOLACE OUTPOST,Dining,4.9,
2024-03-06,2024-03-06,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,574.13
2024-03-03,2024-03-05,XXXX,PARADISE SPRINGS WINER,Entertainment,15.26,
2024-03-03,2024-03-05,XXXX,PARADISE SPRINGS WINER,Entertainment,14.04,
2024-03-03,2024-03-04,XXXX,TST* FOOD TRUCK - PARA,Dining,9.1,
2024-03-03,2024-03-04,XXXX,KOUZINA ANGELINAS,Dining,5.82,
2024-03-03,2024-03-04,XXXX,TST* CHICKEN AND WHISK,Dining,33.72,
2024-03-02,2024-03-04,XXXX,WHITLOW S,Dining,5.02,
2024-03-02,2024-03-04,XXXX,SQ *LA COLOMBE - CHINA,Dining,5.61,
2024-03-01,2024-03-02,XXXX,IKMI VIDA GRATUITY,Dining,9.16,
2024-03-01,2024-03-02,XXXX,KNEAD HOSPITALITY HOUS,Dining,45.99,
2024-02-29,2024-03-01,XXXX,TST* BAR BAO,Dining,105.83,
2024-02-29,2024-03-01,XXXX,HARRISTEETER #383,Merchandise,43.8,
2024-02-29,2024-03-01,XXXX,TST* BETHESDA BAGELS -,Dining,3.08,
2024-02-28,2024-02-28,XXXX,TST* RASA - BALLPARK,Dining,8.18,
2024-02-15,2024-02-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-02-24,2024-02-26,XXXX,TST* NEVER LOOKED BETT,Dining,25.12,
2024-02-24,2024-02-26,XXXX,YARD HOUSE ZK 0108376,Dining,33.82,
2024-02-23,2024-02-24,XXXX,THE PLAYERS CLUB - SOMEWHERE,Dining,29.6,
2024-02-23,2024-02-24,XXXX,IC* INSTACART,Merchandise,50.8,
2024-02-22,2024-02-24,XXXX,TST* MEDINA,Dining,30.4,
2024-02-22,2024-02-24,XXXX,TST* MEDINA,Dining,30.4,
2024-02-21,2024-02-23,XXXX,ONE STOP AUTO CENTER L,Gas/Automotive,16.03,
2024-02-20,2024-02-21,XXXX,CVS/PHARMACY #07102,Health Care,6.0,
2024-02-20,2024-02-21,XXXX,CHINATOWN GARDEN,Dining,15.62,
2024-02-19,2024-02-19,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,616.12
2024-02-18,2024-02-19,XXXX,HARRISTEETER #383,Merchandise,23.39,
2024-02-18,2024-02-19,XXXX,UBER   TRIP,Other Travel,3.64,
2024-02-18,2024-02-19,XXXX,UBER   TRIP,Other Travel,3.78,
2024-02-18,2024-02-19,XXXX,UBER   TRIP,Other Travel,4.89,
2024-02-15,2024-02-16,XXXX,TST* MAMAN - SOMEWHERE,Dining,2.75,
2024-02-15,2024-02-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-02-15,2024-02-16,XXXX,UBER   TRIP,Other Travel,3.58,
2024-02-14,2024-02-16,XXXX,TST* VERA,Dining,22.38,
2024-02-14,2024-02-15,XXXX,HARRISTEETER #383,Merchandise,9.32,
2024-02-15,2024-02-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-02-13,2024-02-15,XXXX,FANATICS - MONUMENTAL,Entertainment,100.54,
2024-02-13,2024-02-14,XXXX,AMK MYBANK ARENA,Dining,2.21,
2024-02-13,2024-02-14,XXXX,CHINATOWN GARDEN,Dining,19.72,
2024-02-13,2024-02-14,XXXX,TM TICKETMASTER,Entertainment,154.78,
2024-02-11,2024-02-13,XXXX,SILVER SPRING DINER,Dining,12.41,
2024-02-10,2024-02-12,XXXX,ALDI 71146,Merchandise,1.16,
