Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,05/13/24,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/13/24,Debit,27.56,XX.XX
X#X#,Zelle money sent to Somebody,05/12/24,Debit,111.11,XX.XX
X#X#,"ATM Withdrawal - P371397 P371397 WASHINGTON, DC",05/12/24,Debit,19.33,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/10/24,Debit,9.33,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,05/09/24,Debit,444.44,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,05/09/24,Debit,666.67,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,05/08/24,Credit,1558.6,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,05/07/24,Debit,11.11,XX.XX
X#X#,Debit Card PurMYOTHERBANK - CMSVEND CV SUITLAND SUITLAND MD,05/07/24,Debit,1.11,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,05/06/24,Debit,40.63,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD AUTOPAY,05/06/24,Debit,15.56,XX.XX
X#X#,Zelle money sent to ANNE NDZEBE BELOUMOU EPSE DJIKE,05/04/24,Debit,2.22,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,05/02/24,Debit,1828.73,XX.XX
X#X#,Monthly Interest Paid,04/30/24,Credit,0.12,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,04/29/24,Credit,355.56,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,04/29/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,04/29/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,04/29/24,Debit,40.0,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,04/24/24,Credit,1423.48,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,04/23/24,Debit,66.67,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,04/22/24,Debit,903.72,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,04/15/24,Debit,11.11,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,04/15/24,Debit,830.68,XX.XX
X#X#,Deposit from VENMO CASHOUT,04/15/24,Credit,276.44,XX.XX
X#X#,Zelle money sent to Azhari Hamza,04/14/24,Debit,0.89,XX.XX
X#X#,Zelle money sent to DEVIN BRADLEY,04/14/24,Debit,3.56,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,04/12/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,04/12/24,Debit,44.44,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,04/09/24,Credit,1545.25,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,04/08/24,Debit,31.68,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,04/03/24,Debit,666.67,XX.XX
X#X#,Check Deposit (Mobile),04/02/24,Credit,266.67,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,04/02/24,Debit,1883.72,XX.XX
X#X#,Monthly Interest Paid,03/31/24,Credit,0.16,XX.XX
X#X#,Deposit from UNIVERSITY OF CH ACHDEPOSIT,03/27/24,Credit,684.74,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,03/27/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,03/27/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,03/27/24,Debit,40.0,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,03/26/24,Debit,328.53,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,03/25/24,Credit,1400.02,XX.XX
X#X#,Deposit from IRS  TREAS 310   TAX REF,03/20/24,Credit,231.56,XX.XX
X#X#,Check Deposit (Mobile),03/18/24,Credit,245.49,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,03/15/24,Debit,11.11,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,03/12/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,03/12/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,03/12/24,Debit,1092.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,03/11/24,Debit,219.35,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,03/11/24,Debit,37.88,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,03/08/24,Credit,1545.24,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,03/08/24,Credit,9.51,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,03/07/24,Debit,11.11,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,03/07/24,Debit,378.16,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,03/07/24,Debit,332.64,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,03/04/24,Debit,1847.92,XX.XX
X#X#,Deposit from Cash App * Cash App,03/04/24,Credit,26.67,XX.XX
X#X#,Monthly Interest Paid,02/29/24,Credit,0.12,XX.XX
X#X#,Deposit from VENMO REFUND,02/29/24,Credit,26.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,02/28/24,Debit,7.56,XX.XX
X#X#,Check Deposit (Mobile),02/28/24,Credit,30.67,XX.XX
X#X#,Deposit from UNIVERSITY OF CH ACHDEPOSIT,02/27/24,Credit,1302.22,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,02/27/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,02/27/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,02/27/24,Debit,40.0,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,02/26/24,Debit,26.67,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,02/24/24,Debit,444.44,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,02/22/24,Credit,1400.02,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,02/21/24,Debit,16.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,02/21/24,Debit,8.89,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,02/20/24,Debit,51.26,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,02/20/24,Debit,42.22,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,02/15/24,Debit,11.11,XX.XX
X#X#,Deposit from VENMO CASHOUT,02/15/24,Credit,139.11,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,02/14/24,Debit,8.89,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,02/12/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,02/12/24,Debit,44.44,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,02/09/24,Debit,43.81,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,02/08/24,Credit,1545.25,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,02/08/24,Credit,4.71,XX.XX
X#X#,"Debit Card PurMYOTHERBANK - OURISMAN MAZDA VOLSWAG ROCKVILLE, MD US",02/03/24,Debit,62.22,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,02/03/24,Credit,62.22,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,02/02/24,Debit,1857.76,XX.XX
X#X#,Monthly Interest Paid,01/31/24,Credit,0.1,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,01/31/24,Debit,8.89,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,01/29/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,01/29/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,01/29/24,Debit,40.0,XX.XX
X#X#,Debit Card PurMYOTHERBANK - JULIAS EMPANADAS DUPON WASHINGTON DC,01/28/24,Debit,3.56,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,01/24/24,Credit,1400.01,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,01/24/24,Debit,8.89,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,01/16/24,Debit,11.11,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,01/12/24,Debit,3.55,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,01/12/24,Debit,129.7,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,01/12/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,01/11/24,Debit,412.6,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,01/11/24,Debit,577.78,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,01/11/24,Debit,339.66,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,01/10/24,Debit,8.89,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,01/09/24,Credit,1545.25,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,01/08/24,Debit,11.11,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,01/05/24,Debit,51.96,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,01/05/24,Debit,89.47,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,01/02/24,Debit,1845.24,XX.XX
X#X#,Withdrawal from Yardi Service Ch WEB PMTS,01/02/24,Debit,0.42,XX.XX
X#X#,Monthly Interest Paid,12/31/23,Credit,0.17,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,12/27/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,12/27/23,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,12/27/23,Debit,40.0,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,12/22/23,Credit,1391.93,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,12/22/23,Credit,199.74,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,12/19/23,Debit,177.78,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,12/19/23,Debit,123.02,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,12/12/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,12/12/23,Debit,44.44,XX.XX
X#X#,Check #321 Cashed,12/11/23,Debit,8.89,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,12/08/23,Credit,1534.97,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,12/07/23,Debit,11.66,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,12/07/23,Debit,8.89,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,12/04/23,Debit,2290.72,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,12/01/23,Debit,97.3,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,12/01/23,Debit,76.52,XX.XX
X#X#,Monthly Interest Paid,11/30/23,Credit,0.27,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,11/30/23,Debit,51.79,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,11/30/23,Debit,446.84,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,11/28/23,Debit,40.0,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/27/23,Debit,366.51,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,11/27/23,Debit,358.73,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,11/27/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,11/27/23,Debit,113.34,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/27/23,Debit,112.43,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,11/27/23,Debit,44.44,XX.XX
X#X#,Deposit from VENMO CASHOUT,11/27/23,Credit,273.78,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,11/24/23,Credit,1402.55,XX.XX
X#X#,Withdrawal to Someones Savings XXXXXXXX#X#,11/24/23,Debit,666.67,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/20/23,Debit,1148.86,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/20/23,Debit,10.28,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/13/23,Debit,428.89,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,11/13/23,Debit,38.92,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,11/13/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,11/13/23,Debit,44.44,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,11/10/23,Debit,141.48,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,11/10/23,Debit,76.08,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,11/09/23,Credit,1555.56,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,11/09/23,Credit,1534.97,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,11/09/23,Debit,8.89,XX.XX
X#X#,Escrow Tax proration - Check Deposit (Mobile),11/08/23,Credit,1711.55,XX.XX
X#X#,Overnight Courier Check Charge for payment to Maren,11/08/23,Debit,8.89,XX.XX
X#X#,Cashier's Check Payment to Maren,11/08/23,Debit,1499.78,XX.XX
X#X#,Deposit from Someones Savings XXXXXXXX#X#,11/08/23,Credit,1499.78,XX.XX
X#X#,Deposit from Nationwide Nationwide,11/04/23,Credit,277.75,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,11/02/23,Debit,470.79,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,11/02/23,Debit,110.61,XX.XX
X#X#,Deposit from Someones Savings XXXXXXXX#X#,11/01/23,Credit,222.22,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,11/01/23,Debit,8.89,XX.XX
X#X#,Monthly Interest Paid,10/31/23,Credit,0.05,XX.XX
X#X#,Withdrawal from KELLEY & RYAN MUNICIPAL,10/30/23,Debit,33.56,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,10/27/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,10/27/23,Debit,44.44,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,10/27/23,Debit,165.24,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,10/27/23,Debit,96.4,XX.XX
X#X#,Check Deposit (Mobile),10/27/23,Credit,7.8,XX.XX
X#X#,Check Deposit (Mobile),10/26/23,Credit,711.11,XX.XX
X#X#,Withdrawal to Someones Savings XXXXXXXX#X#,10/26/23,Debit,1111.11,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,10/25/23,Credit,1402.55,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,10/16/23,Debit,11.11,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,10/12/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,10/12/23,Debit,44.44,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,10/12/23,Debit,1304.09,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/11/23,Debit,8.89,XX.XX
X#X#,Withdrawal from GAS SUPPLIER AUTOPAY,10/11/23,Debit,7.46,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/10/23,Debit,8.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/10/23,Debit,6.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/10/23,Debit,2.22,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,10/10/23,Credit,1534.97,XX.XX
X#X#,Withdrawal from ELECTRIC SUPPLIER UTIL_BIL,10/10/23,Debit,4.29,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/05/23,Debit,51.11,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,10/04/23,Debit,8.89,XX.XX
X#X#,Deposit from VENMO CASHOUT,10/04/23,Credit,314.36,XX.XX
X#X#,Withdrawal from ELECTRIC SUPPLIER UTIL_BIL,10/04/23,Debit,55.41,XX.XX
X#X#,"ATM Withdrawal - CDSR 50050008 ORLEANS, MA",10/01/23,Debit,45.78,XX.XX
X#X#,Monthly Interest Paid,09/30/23,Credit,0.07,XX.XX
X#X#,"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",10/01/23,Debit,8.89,XX.XX
X#X#,Withdrawal from GAS SUPPLIER AUTOPAY,09/29/23,Debit,28.29,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,09/27/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,09/27/23,Debit,44.44,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,09/25/23,Debit,635.17,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,09/25/23,Debit,252.21,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,09/25/23,Debit,63.93,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,09/25/23,Debit,50.67,XX.XX
X#X#,Withdrawal to Someones Savings XXXXXXXX#X#,09/23/23,Debit,622.22,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,09/23/23,Credit,1402.55,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,09/21/23,Debit,8.89,XX.XX
X#X#,Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,09/20/23,Credit,306.89,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,09/12/23,Debit,171.96,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,09/12/23,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,09/11/23,Debit,11.11,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,09/09/23,Debit,888.89,XX.XX
X#X#,Withdrawal from MYBANK ONLINE PMT,09/09/23,Debit,311.11,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,09/08/23,Credit,1534.98,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,09/07/23,Debit,62.22,XX.XX
X#X#,Withdrawal from NSM DBAMR.COOPER NSM DBAMR,09/05/23,Debit,1750.66,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,09/05/23,Debit,384.17,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,09/05/23,Debit,74.2,XX.XX
X#X#,Withdrawal from ELECTRIC SUPPLIER UTIL_BIL,09/05/23,Debit,82.56,XX.XX
X#X#,Zelle money received from NADJI TOUAHRIA,09/05/23,Credit,177.78,XX.XX
X#X#,"ATM Withdrawal - PAI ISO TN93545 MACKINAC ISLA, MI",09/03/23,Debit,28.44,XX.XX
X#X#,Deposit from 360 Checking XXXXXXX3327,09/02/23,Credit,444.44,XX.XX
X#X#,Withdrawal from GAS SUPPLIER AUTOPAY,09/01/23,Debit,29.78,XX.XX
X#X#,Monthly Interest Paid,08/31/23,Credit,0.08,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,08/31/23,Debit,222.22,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,08/31/23,Debit,222.22,XX.XX
X#X#,Zelle money sent to OFIR URIEL,08/30/23,Debit,118.67,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,08/29/23,Debit,6.0,XX.XX
X#X#,Deposit from VENMO CASHOUT,08/29/23,Credit,250.67,XX.XX
X#X#,Zelle money received from Brittany Ryley,08/28/23,Credit,444.0,XX.XX
X#X#,Zelle money received from Brittany Ryley,08/28/23,Credit,0.44,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,08/28/23,Debit,171.96,XX.XX
